ship_state,ship_country
Maharashtra,IN
Karnataka,IN
Puducherry,IN
Tamil Nadu,IN
Uttar Pradesh,IN
Chandigarh,IN
Telangana,IN
Andhra Pradesh,IN
Rajasthan,IN
Delhi,IN
Haryana,IN
Assam,IN
Jharkhand,IN
Chhattisgarh,IN
Odisha,IN
Kerala,IN
Madhya Pradesh,IN
West Bengal,IN
Nagaland,IN
Gujarat,IN
Uttarakhand,IN
Bihar,IN
Jammu & Kashmir,IN
Punjab,IN
Himachal Pradesh,IN
Arunachal Pradesh,IN
Manipur,IN
Goa,IN
Meghalaya,IN
Tripura,IN
Ladakh,IN
Dadra And Nagar,IN
Sikkim,IN
,
Andaman & Nicobar ,IN
Rajshthan,IN
Nl,IN
Mizoram,IN
New Delhi,IN
Punjab/Mohali/Zirakpur,IN
Rj,IN
Orissa,IN
Lakshadweep,IN
Pb,IN
Apo,IN
Ar,IN
Pondicherry,IN
Rajsthan,IN
